Fecha,DolarToday,Dolar
40811,8.96,8.96E-05
40812,8.94,8.94E-05
40813,8.86,8.86E-05
40814,8.93,8.93E-05
40815,8.96,8.96E-05
40816,8.92,8.92E-05
40817,8.92,8.92E-05
40818,8.92,8.92E-05
40819,9.03,9.03E-05
40820,8.94,8.94E-05
40821,9.09,9.09E-05
40822,9.06,9.06E-05
40823,8.95,8.95E-05
40824,8.95,8.95E-05
40825,9.01,9.01E-05
40826,9.03,9.03E-05
40827,9.01,9.01E-05
40828,9.03,9.03E-05
40829,8.66,8.66E-05
40830,8.65,8.65E-05
40831,8.65,8.65E-05
40832,8.61,8.61E-05
40833,8.76,8.76E-05
40834,8.72,8.72E-05
40835,8.75,8.75E-05
40836,8.71,8.71E-05
40837,8.71,8.71E-05
40838,8.71,8.71E-05
40839,8.73,8.73E-05
40840,8.64,8.64E-05
40841,8.62,8.62E-05
40842,8.58,8.58E-05
40843,8.58,8.58E-05
40844,8.58,8.58E-05
40845,8.58,8.58E-05
40846,8.61,8.61E-05
40847,8.61,8.61E-05
40848,8.71,8.71E-05
40849,8.71,8.71E-05
40850,8.76,8.76E-05
40852,8.76,8.76E-05
40853,8.86,8.86E-05
40854,8.85,8.85E-05
40855,8.88,8.88E-05
40856,8.88,8.88E-05
40857,8.91,8.91E-05
40858,8.88,8.88E-05
40859,8.9,8.9E-05
40860,8.9,8.9E-05
40861,8.91,8.91E-05
40862,8.87,8.87E-05
40863,8.95,8.95E-05
40864,9,9E-05
40865,9,9E-05
40866,9,9E-05
40867,9.04,9.04E-05
40868,9.06,9.06E-05
40869,9.09,9.09E-05
40870,9.15,9.15E-05
40872,9.28,9.28E-05
40873,9.28,9.28E-05
40874,9.24,9.24E-05
40875,9.27,9.27E-05
40876,9.28,9.28E-05
40877,9.28,9.28E-05
40878,9.28,9.28E-05
40880,9.24,9.24E-05
40881,9.22,9.22E-05
40882,9.17,9.17E-05
40883,9.12,9.12E-05
40884,9.09,9.09E-05
40885,9.09,9.09E-05
40886,9.09,9.09E-05
40887,9.09,9.09E-05
40888,9.08,9.08E-05
40889,9.04,9.04E-05
40890,9.02,9.02E-05
40891,9.06,9.06E-05
40892,9.02,9.02E-05
40893,9.06,9.06E-05
40894,9.06,9.06E-05
40895,9.06,9.06E-05
40896,9.25,9.25E-05
40897,9.27,9.27E-05
40898,9.27,9.27E-05
40899,9.41,9.41E-05
40900,9.38,9.38E-05
40901,9.38,9.38E-05
40902,9.43,9.43E-05
40903,9.42,9.42E-05
40904,9.42,9.42E-05
40905,9.5,9.5E-05
40906,9.45,9.45E-05
40907,9.45,9.45E-05
40908,9.46,9.46E-05
40909,9.46,9.46E-05
40910,9.46,9.46E-05
